模型,RMSE,MAE,MAPE,方向命中率,最大绝对误差,平均误差,说明,初始冲击吸收_RMSE,高位平台形成_RMSE,中期再定价回落_RMSE,后期二次抬升_RMSE,candidate_id,base_column,shrinkage,max_abs_correction,regularized_score
机制主模型+在线反馈,3.3800142208570305,2.756404510609999,2.7553458276384384,66.66666666666666,7.235787658476099,-0.0028374995897843414,只用上一日以前误差的一阶反馈,3.316800791584517,3.729625009253997,3.7770575554723953,2.7550663120150225,1,simulated_price,0.0,1.5,4.638206442410702
机制主模型+在线反馈,3.365724079197803,2.752130730579939,2.7508549317670927,66.66666666666666,7.131614918661526,-0.007475360465511348,只用上一日以前误差的一阶反馈,3.3142926191860873,3.7162891960983244,3.7520229783112606,2.7407687814132937,6,simulated_price,0.15,2.0,4.642576949220526
机制主模型+在线反馈,3.342633737645687,2.750280526947926,2.7467513159504415,60.0,6.5413027263789445,-0.03375657209463311,只用上一日以前误差的一阶反馈,3.3381692850065368,3.67203548924046,3.696125473432437,2.7359119061126056,27,simulated_price,1.0,3.0,4.6473180315051925
机制主模型+在线反馈,3.3394462804005296,2.7495302341358046,2.7468518073609207,66.66666666666666,6.749648206008089,-0.02448085034317755,只用上一日以前误差的一阶反馈,3.3223764076875257,3.68150571742364,3.6988871336365707,2.722743271387903,23,simulated_price,0.7,3.0,4.649240078263028
机制主模型+在线反馈,3.3442105108842335,2.749030038927723,2.746918801634572,66.66666666666666,6.8885451924275145,-0.018297035842207182,只用上一日以前误差的一阶反馈,3.316298195166862,3.6915637696603136,3.711072476285463,2.7229880863977174,19,simulated_price,0.5,3.0,4.659065722484108
机制主模型+在线反馈,3.3800142208570305,2.756404510609999,2.7553458276384384,66.66666666666666,7.235787658476099,-0.0028374995897843414,只用上一日以前误差的一阶反馈,3.316800791584517,3.729625009253997,3.7770575554723953,2.7550663120150225,2,simulated_price,0.0,2.0,4.663206442410702
机制主模型+在线反馈,3.3513874291787027,2.7486548925216625,2.746969047339811,66.66666666666666,6.992717932242101,-0.013659174966481719,只用上一日以前误差的一阶反馈,3.31409143761543,3.7010568127716508,3.7255918306401585,2.727915505875363,15,simulated_price,0.35,3.0,4.670899556660497
机制主模型+在线反馈,3.3578778964956344,2.749585331131692,2.748147917731775,68.88888888888889,7.062166425451807,-0.010567267715996224,只用上一日以前误差的一阶反馈,3.3137427973027678,3.7083069231040144,3.737805194264381,2.733448872413172,11,simulated_price,0.25,3.0,4.6809000416140805
机制主模型+在线反馈,3.365724079197803,2.752130730579939,2.7508549317670927,66.66666666666666,7.131614918661526,-0.007475360465511348,只用上一日以前误差的一阶反馈,3.3142926191860873,3.7162891960983244,3.7520229783112606,2.7407687814132937,7,simulated_price,0.15,3.0,4.692576949220527
机制主模型+在线反馈,3.3800142208570305,2.756404510609999,2.7553458276384384,66.66666666666666,7.235787658476099,-0.0028374995897843414,只用上一日以前误差的一阶反馈,3.316800791584517,3.729625009253997,3.7770575554723953,2.7550663120150225,3,simulated_price,0.0,3.0,4.713206442410702
